first_name,last_name,dob,country,gender,email,phone_no
John,D.OE,/1999-05-14//,,Others,john.do  e@yahoo.co,+91-93706&$@12356
ANN--A,SMITh,2050-01-20,oman,o,anna.smith@outlook.com,
Ali,Khan,,Pakistan,Male,ali.khan@yahoo.com,+92-3001234567
Priya,Sh134arma,2001-09-18,India,FeMALE,pr  iya.sharma@redifmail.com,+91-9988776655
David,Brown,1997=11=11,United States,m,analogewe.us,+1-212^$@!5550000
rohan, gupta, 1890-12-13,, male,rg32@hotmail.com , +91-8502521785
,aaaaa, 18-09-2023, sa, male, KKK@GMAIl.com, 91 
///***,Doe,1999-01-01,India,Male,john@gmail.co ,+91-9
John,,1999-01-01,India,m,johngmail.com,+919876543210
@@@,Doe,1999-01-01,India,Male,john43512515251@gmail.com,+91-
John,DOE,,india,m,john.doe@yahoo.com,+91-93706&$12356
Test,User,1999/01/01,SOUTH africa,Male,john@gmail.com,+91
Asdf,user,1999.01.01,India,m,525515514164@ZOhoo.com,+915362-9876543210
Aaaaaaaa,userDoe,1999-01-01,India,Male,john@gmail.com,+971-9871654300
J,Doe,1999-01-01,India,Male,john@gmail.com,+919876543210
John,Doe,1999-01-01,0985931508013,Male,a@yahoo.com,+919876543210
John,Doe,01-12-22,JPAN,,jo..Hngmail.com,
John,Doe,1999-01-01,,Male,john@@gmail.com,+910009876543210
John,Doe,1999-01-01,India,Male,@gmail.com,+919876543210
John,Doe,2349.01.01,Ind525ia,Male,john@,+919876543210
John,Doe,1999-01-01,netherlaNDS,Male,.JO..hn@gmail,
John,Doe,1999-01-01,uae,Male,john..doe@gmail.com,+988-9876543210
John,Doe,1999-01-01,,Male,1234@56789@gmail.com,+919876543210
John,Doe,,India,Male,jo.hn@all-cats.ru,+919876543210
John,Doe,1999-01-01,India,Male,joh..n@google.co.uk,+919876543210
John,Doe,1999-01-01,CHINa,Male,@gmail.com,+911-9999999999
John,Doe,1999-01-01,Ksa,Male,john@gmail.com,+91-842270880300
John,Doe,1999-01-01,,Male,john.doe@gmial.com,+91-9370612356
rohan, gupta, 1890-12-13,indai, ,rgupta@hotmail.com , +91-8502521785
John,Doe,1999-01-01,pERU,Male,john.doe@,+919876543210
@@@,User,2050-01-01,Atlantis,Male,jo..@hn@,0000000000
Test,Qwerty,1900-01-01,Moon,Female,1234qwerty89@gmail,9999999999
,,31-02-2020,Narnia,,@gmail.com,12345
rohan, gupta, 1890-12-13,usa, , , +91-8502521785
Aaaaaaaa,Doe,2050-01-01,Indai,Male,j..ohn@doe@gmail.com,0000000000
John,DOE,/1999-05-14,india,m,,+91-9370612356
John,Doe,1999-01-01,briTAIN423,Male,duplicate@outlok.com,+919876543210
ANNA,SMITh,2023-01-20,,F,anna.smith@outlook.com,"+91-9673436751, +966-6486013487"
ANNA,SMITh,2050-01-20,oman,,anna.smith@outlook.com,+966-6486013487
Johnny,Doe,1999-01-01,prc,Male,duplicate@servicenow.in,+91999999963637351325125999
John,Doe,1999-01-01,India,Male,other@gmail.com,+919876543210
