record_id,cleaned_name,cleaned_dob,cleaned_email,cleaned_phoneno,standardized_country,name_issues,dob_issues,email_issues,phoneno_issues,is_disposable_email,email_classified_as,extracted_domain,extracted_operator,extracted_country,dq_score,last_updated_timestamp,gender,iso_code,nationality_issue,gender_issues
1,john doe,1999-05-14,john.doe@yahoo.com,919370612356,India,,,,,False,Personal,yahoo.com,,,100,2026-06-24 05:44:03.406605,Male,IN,,
2,anna smith,2023-01-20,anna.smith@outlook.com,9666486013487,Oman,,,,,False,Personal,outlook.com,,,100,2026-06-24 05:44:03.406605,Female,OM,,
3,ali khan,,ali.khan@yahoo.com,923001234567,Pakistan,,Empty DOB,,,False,Personal,yahoo.com,,,90,2026-06-24 05:44:03.406605,Male,PK,,
4,priya sharma,2001-09-18,priya.sharma@rediffmail.com,919988776655,India,,,,,False,Personal,rediffmail.com,,,100,2026-06-24 05:44:03.406605,Female,IN,,
5,rohan gupta,1890-12-13,rg32@hotmail.com,918502521785,,,,,,False,Personal,hotmail.com,,,80,2026-06-24 05:44:03.406605,Male,,No nationality provided,
6,,2023-09-18,kkk@gmail.com,,South Africa,"Empty first or last name, Invalid name, Name too short or long, Repeated letters",,,Empty subscriber number,False,Personal,gmail.com,,,60,2026-06-24 05:44:03.406605,Male,ZA,,
7,john doe,1999-01-01,john@gmail.com,91842270880300,Saudi Arabia,,,,,False,Personal,gmail.com,,,100,2026-06-24 05:44:03.406605,Male,SA,,
8,john doe,1999-01-01,john.doe@gmail.com,919370612356,,,,,,False,Personal,gmail.com,,,80,2026-06-24 05:44:03.406605,Male,,No nationality provided,
9,rohan gupta,1890-12-13,rgupta@hotmail.com,918502521785,India,,,,,False,Personal,hotmail.com,,,95,2026-06-24 05:44:03.406605,,IN,,No gender provided
10,john doe,1999-01-01,duplicate@outlook.com,,United Kingdom,,,,Invalid country code,False,Personal,outlook.com,,,75,2026-06-24 05:44:03.406605,Male,GB,,
11,johnny doe,1999-01-01,duplicate@servicenow.in,,China,,,,"Invalid country code, Invalid length",False,Business,servicenow.in,,,75,2026-06-24 05:44:03.406605,Male,CN,,
12,john doe,1999-01-01,other@gmail.com,,India,,,,Invalid country code,False,Personal,gmail.com,,,75,2026-06-24 05:44:03.406605,Male,IN,,
